CÛdigo IBGE do MunicÌpio;CÛdigo da Unidade da FederaÁ„o;Sigla da Unidade da FederaÁ„o;Nome das Grandes Regiıes;CÛdigo IBGE da Mesoregi„o;Nome da Mesoregi„o;CÛdigo IBGE da Microregi„o;Nome da Microregi„o;IDHM 1991;IDHM 2000;IDHM 2010
261130;26;PE;Nordeste;2604;Mata Pernambucana;26014;Vitæria de Santo Ant“o;0,316;0,446;0,598
261140;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,304;0,432;0,58
261150;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,288;0,361;0,552
261153;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,256;0,394;0,577
261160;26;PE;Nordeste;2605;Metropolitana de Recife;26017;Recife;0,576;0,66;0,772
261170;26;PE;Nordeste;2603;Agreste Pernambucano;26008;Vale do Ipojuca;0,285;0,426;0,57
261180;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,357;0,456;0,602
261190;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,309;0,42;0,613
261200;26;PE;Nordeste;2603;Agreste Pernambucano;26012;Brejo Pernambucano;0,298;0,389;0,585
261210;26;PE;Nordeste;2603;Agreste Pernambucano;26010;M⁄dio Capibaribe;0,272;0,402;0,534
261220;26;PE;Nordeste;2601;Sert“o Pernambucano;26002;Salgueiro;0,404;0,531;0,669
261230;26;PE;Nordeste;2603;Agreste Pernambucano;26011;Garanhuns;0,314;0,417;0,559
261240;26;PE;Nordeste;2603;Agreste Pernambucano;26008;Vale do Ipojuca;0,349;0,46;0,603
261245;26;PE;Nordeste;2601;Sert“o Pernambucano;26001;Araripina;0,182;0,341;0,549
261247;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,32;0,474;0,612
261250;26;PE;Nordeste;2603;Agreste Pernambucano;26009;Alto Capibaribe;0,436;0,52;0,648
261255;26;PE;Nordeste;2601;Sert“o Pernambucano;26001;Araripina;0,157;0,315;0,533
261260;26;PE;Nordeste;2602;S“o Francisco Pernambucano;26005;Petrolina;0,313;0,468;0,59
261270;26;PE;Nordeste;2603;Agreste Pernambucano;26009;Alto Capibaribe;0,277;0,379;0,548
261280;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,303;0,432;0,593
261290;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,228;0,356;0,53
261300;26;PE;Nordeste;2603;Agreste Pernambucano;26008;Vale do Ipojuca;0,318;0,437;0,593
261310;26;PE;Nordeste;2603;Agreste Pernambucano;26008;Vale do Ipojuca;0,285;0,418;0,591
261320;26;PE;Nordeste;2603;Agreste Pernambucano;26011;Garanhuns;0,278;0,398;0,57
261330;26;PE;Nordeste;2603;Agreste Pernambucano;26012;Brejo Pernambucano;0,293;0,365;0,537
261340;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,306;0,474;0,608
261350;26;PE;Nordeste;2601;Sert“o Pernambucano;26002;Salgueiro;0,309;0,439;0,61
261360;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,397;0,508;0,635
261370;26;PE;Nordeste;2605;Metropolitana de Recife;26017;Recife;0,416;0,53;0,653
261380;26;PE;Nordeste;2603;Agreste Pernambucano;26010;M⁄dio Capibaribe;0,319;0,416;0,549
261390;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,401;0,499;0,661
261400;26;PE;Nordeste;2601;Sert“o Pernambucano;26002;Salgueiro;0,259;0,41;0,595
261410;26;PE;Nordeste;2601;Sert“o Pernambucano;26004;Sert“o do Moxotæ;0,386;0,485;0,613
261420;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,293;0,436;0,597
261430;26;PE;Nordeste;2601;Sert“o Pernambucano;26001;Araripina;0,296;0,44;0,6
261440;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,28;0,403;0,585
261450;26;PE;Nordeste;2603;Agreste Pernambucano;26009;Alto Capibaribe;0,389;0,494;0,635
261460;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,361;0,475;0,605
261470;26;PE;Nordeste;2603;Agreste Pernambucano;26008;Vale do Ipojuca;0,259;0,397;0,554
261480;26;PE;Nordeste;2602;S“o Francisco Pernambucano;26006;Itaparica;0,344;0,411;0,573
261485;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,285;0,402;0,593
261500;26;PE;Nordeste;2603;Agreste Pernambucano;26009;Alto Capibaribe;0,358;0,48;0,641
261510;26;PE;Nordeste;2603;Agreste Pernambucano;26011;Garanhuns;0,285;0,352;0,545
261520;26;PE;Nordeste;2602;S“o Francisco Pernambucano;26005;Petrolina;0,399;0,494;0,599
261530;26;PE;Nordeste;2604;Mata Pernambucana;26013;Mata Setentrional Pernambucana;0,367;0,489;0,618
261540;26;PE;Nordeste;2603;Agreste Pernambucano;26009;Alto Capibaribe;0,448;0,481;0,618
261550;26;PE;Nordeste;2604;Mata Pernambucana;26013;Mata Setentrional Pernambucana;0,336;0,444;0,605
261560;26;PE;Nordeste;2601;Sert“o Pernambucano;26001;Araripina;0,313;0,462;0,595
261570;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,404;0,552;0,67
261580;26;PE;Nordeste;2603;Agreste Pernambucano;26007;Vale do Ipanema;0,225;0,343;0,519
261590;26;PE;Nordeste;2601;Sert“o Pernambucano;26003;Paje∑;0,392;0,528;0,634
261600;26;PE;Nordeste;2603;Agreste Pernambucano;26007;Vale do Ipanema;0,361;0,472;0,592
261610;26;PE;Nordeste;2601;Sert“o Pernambucano;26002;Salgueiro;0,356;0,46;0,605
261618;26;PE;Nordeste;2603;Agreste Pernambucano;26009;Alto Capibaribe;0,273;0,382;0,563
261620;26;PE;Nordeste;2603;Agreste Pernambucano;26009;Alto Capibaribe;0,34;0,452;0,582
261630;26;PE;Nordeste;2604;Mata Pernambucana;26013;Mata Setentrional Pernambucana;0,306;0,455;0,605
261640;26;PE;Nordeste;2604;Mata Pernambucana;26014;Vitæria de Santo Ant“o;0,418;0,519;0,64
261650;26;PE;Nordeste;2604;Mata Pernambucana;26015;Mata Meridional Pernambucana;0,269;0,365;0,552
270010;27;AL;Nordeste;2701;Sert“o Alagoano;27001;Serrana do Sert“o Alagoano;0,282;0,392;0,549
270020;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,302;0,428;0,568
270030;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,359;0,476;0,649
270040;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,285;0,407;0,561
270050;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,265;0,378;0,557
270060;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,275;0,44;0,615
270070;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,291;0,401;0,594
270080;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,298;0,416;0,593
270090;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,227;0,331;0,517
270100;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,333;0,42;0,604
270110;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,197;0,311;0,513
270120;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,282;0,359;0,531
270130;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,288;0,385;0,562
270135;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,312;0,412;0,559
270140;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,292;0,393;0,57
270150;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,214;0,337;0,524
270160;27;AL;Nordeste;2701;Sert“o Alagoano;27001;Serrana do Sert“o Alagoano;0,205;0,306;0,506
270170;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,288;0,379;0,573
270180;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,271;0,356;0,526
270190;27;AL;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos;0,287;0,383;0,575
270200;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,235;0,354;0,533
270210;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,255;0,377;0,517
270220;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,344;0,466;0,586
270230;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,317;0,419;0,626
270235;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,204;0,344;0,525
270240;27;AL;Nordeste;2701;Sert“o Alagoano;27002;Alagoana do Sert“o do S“o Francisc;0,334;0,436;0,612
270250;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,261;0,37;0,532
270255;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,221;0,322;0,534
270260;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,25;0,371;0,533
270270;27;AL;Nordeste;2703;Leste Alagoano;27013;Penedo;0,329;0,411;0,565
270280;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,232;0,373;0,527
270290;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,241;0,335;0,536
270300;27;AL;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos;0,266;0,337;0,518
270310;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,241;0,366;0,564
270320;27;AL;Nordeste;2703;Leste Alagoano;27013;Penedo;0,22;0,374;0,568
270330;27;AL;Nordeste;2701;Sert“o Alagoano;27001;Serrana do Sert“o Alagoano;0,189;0,281;0,484
270340;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,296;0,4;0,583
270350;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,229;0,358;0,548
270360;27;AL;Nordeste;2703;Leste Alagoano;27010;Litoral Norte Alagoano;0,331;0,414;0,57
270370;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,221;0,386;0,552
270375;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,26;0,382;0,556
270380;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,223;0,349;0,531
270390;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,278;0,38;0,562
270400;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,281;0,426;0,575
270410;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,248;0,383;0,552
270420;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,214;0,369;0,58
270430;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,507;0,584;0,721
270440;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,281;0,365;0,566
270450;27;AL;Nordeste;2703;Leste Alagoano;27010;Litoral Norte Alagoano;0,278;0,419;0,574
270460;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,3;0,343;0,569
270470;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,349;0,463;0,642
270480;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,327;0,452;0,597
270490;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,274;0,412;0,577
270500;27;AL;Nordeste;2701;Sert“o Alagoano;27001;Serrana do Sert“o Alagoano;0,253;0,356;0,504
270510;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,332;0,394;0,584
270520;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,306;0,379;0,568
270530;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,263;0,384;0,563
270540;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,251;0,38;0,539
270550;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,273;0,391;0,527
270560;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,281;0,355;0,521
270570;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,322;0,405;0,565
270580;27;AL;Nordeste;2701;Sert“o Alagoano;27002;Alagoana do Sert“o do S“o Francisc;0,259;0,362;0,525
270590;27;AL;Nordeste;2702;Agreste Alagoano;27007;Traipu;0,238;0,368;0,503
270600;27;AL;Nordeste;2701;Sert“o Alagoano;27004;Batalha;0,217;0,301;0,493
270610;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,291;0,396;0,547
270620;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,317;0,402;0,558
270630;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,385;0,482;0,638
270640;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,345;0,434;0,593
270642;27;AL;Nordeste;2701;Sert“o Alagoano;27001;Serrana do Sert“o Alagoano;0,227;0,35;0,548
270644;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,312;0,423;0,605
270650;27;AL;Nordeste;2703;Leste Alagoano;27010;Litoral Norte Alagoano;0,249;0,382;0,533
270660;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,282;0,42;0,589
270670;27;AL;Nordeste;2703;Leste Alagoano;27013;Penedo;0,411;0,495;0,63
270680;27;AL;Nordeste;2703;Leste Alagoano;27013;Penedo;0,316;0,417;0,572
270690;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,325;0,418;0,61
270700;27;AL;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos;0,252;0,355;0,574
270710;27;AL;Nordeste;2701;Sert“o Alagoano;27002;Alagoana do Sert“o do S“o Francisc;0,398;0,432;0,589
270720;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,24;0,313;0,526
270730;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,322;0,423;0,586
270740;27;AL;Nordeste;2703;Leste Alagoano;27010;Litoral Norte Alagoano;0,255;0,344;0,541
270750;27;AL;Nordeste;2703;Leste Alagoano;27013;Penedo;0,274;0,378;0,551
270760;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,3;0,384;0,559
270770;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,389;0,505;0,643
270780;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,219;0,339;0,505
270790;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,375;0,434;0,597
270800;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,349;0,425;0,591
270810;27;AL;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos;0,266;0,356;0,519
270820;27;AL;Nordeste;2702;Agreste Alagoano;27007;Traipu;0,304;0,436;0,572
270830;27;AL;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos;0,304;0,402;0,573
270840;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,204;0,319;0,527
270850;27;AL;Nordeste;2703;Leste Alagoano;27009;Mata Alagoana;0,267;0,396;0,536
270860;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,365;0,506;0,623
270870;27;AL;Nordeste;2703;Leste Alagoano;27010;Litoral Norte Alagoano;0,337;0,444;0,591
270880;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,246;0,351;0,549
270890;27;AL;Nordeste;2703;Leste Alagoano;27011;Maceiæ;0,416;0,543;0,66
270895;27;AL;Nordeste;2701;Sert“o Alagoano;27003;Santana do Ipanema;0,211;0,299;0,518
270900;27;AL;Nordeste;2702;Agreste Alagoano;27005;Palmeira dos Pndios;0,26;0,395;0,555
270910;27;AL;Nordeste;2702;Agreste Alagoano;27006;Arapiraca;0,279;0,375;0,541
270915;27;AL;Nordeste;2703;Leste Alagoano;27012;S“o Miguel dos Campos;0,253;0,398;0,564
270920;27;AL;Nordeste;2702;Agreste Alagoano;27007;Traipu;0,248;0,32;0,532
270930;27;AL;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos;0,312;0,406;0,593
270940;27;AL;Nordeste;2703;Leste Alagoano;27008;Serrana dos Quilombos;0,306;0,415;0,586
280010;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,314;0,42;0,611
280020;28;SE;Nordeste;2802;Agreste Sergipano;28003;Nossa Senhora das Dores;0,325;0,428;0,578
280030;28;SE;Nordeste;2803;Leste Sergipano;28011;Aracaju;0,545;0,648;0,77
280040;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,308;0,448;0,595
280050;28;SE;Nordeste;2802;Agreste Sergipano;28004;Agreste de Itabaiana;0,293;0,44;0,579
280060;28;SE;Nordeste;2803;Leste Sergipano;28011;Aracaju;0,403;0,527;0,649
280067;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,376;0,435;0,604
280070;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,284;0,377;0,54
280100;28;SE;Nordeste;2802;Agreste Sergipano;28004;Agreste de Itabaiana;0,343;0,468;0,621
280110;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,318;0,411;0,569
280120;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,233;0,381;0,567
280130;28;SE;Nordeste;2803;Leste Sergipano;28008;Cotinguiba;0,35;0,444;0,615
280140;28;SE;Nordeste;2801;Sert“o Sergipano;28002;Carira;0,268;0,397;0,588
280150;28;SE;Nordeste;2803;Leste Sergipano;28010;Baixo Cotinguiba;0,404;0,507;0,643
280160;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,445;0,524;0,623
280170;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,279;0,398;0,553
280190;28;SE;Nordeste;2802;Agreste Sergipano;28003;Nossa Senhora das Dores;0,316;0,448;0,604
280200;28;SE;Nordeste;2803;Leste Sergipano;28008;Cotinguiba;0,399;0,436;0,61
280210;28;SE;Nordeste;2803;Leste Sergipano;28013;Est‘ncia;0,374;0,479;0,647
280220;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,287;0,432;0,584
280230;28;SE;Nordeste;2801;Sert“o Sergipano;28002;Carira;0,367;0,457;0,589
280240;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,249;0,391;0,564
280250;28;SE;Nordeste;2803;Leste Sergipano;28010;Baixo Cotinguiba;0,41;0,493;0,645
280260;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,3;0,458;0,577
280270;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,318;0,421;0,562
280280;28;SE;Nordeste;2803;Leste Sergipano;28013;Est‘ncia;0,235;0,38;0,58
280290;28;SE;Nordeste;2802;Agreste Sergipano;28004;Agreste de Itabaiana;0,399;0,481;0,642
280300;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,267;0,38;0,556
280310;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,341;0,454;0,602
280320;28;SE;Nordeste;2803;Leste Sergipano;28013;Est‘ncia;0,26;0,42;0,561
280330;28;SE;Nordeste;2803;Leste Sergipano;28009;Japaratuba;0,371;0,48;0,621
280340;28;SE;Nordeste;2803;Leste Sergipano;28009;Japaratuba;0,284;0,406;0,56
280350;28;SE;Nordeste;2802;Agreste Sergipano;28006;Agreste de Lagarto;0,341;0,447;0,625
280360;28;SE;Nordeste;2803;Leste Sergipano;28010;Baixo Cotinguiba;0,354;0,47;0,642
280370;28;SE;Nordeste;2802;Agreste Sergipano;28004;Agreste de Itabaiana;0,311;0,446;0,583
280380;28;SE;Nordeste;2802;Agreste Sergipano;28003;Nossa Senhora das Dores;0,36;0,458;0,599
280390;28;SE;Nordeste;2802;Agreste Sergipano;28004;Agreste de Itabaiana;0,366;0,453;0,587
280400;28;SE;Nordeste;2803;Leste Sergipano;28010;Baixo Cotinguiba;0,361;0,469;0,618
280410;28;SE;Nordeste;2802;Agreste Sergipano;28004;Agreste de Itabaiana;0,337;0,459;0,587
280420;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,251;0,39;0,553
280430;28;SE;Nordeste;2802;Agreste Sergipano;28003;Nossa Senhora das Dores;0,312;0,44;0,626
280440;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,392;0,465;0,589
280445;28;SE;Nordeste;2801;Sert“o Sergipano;28002;Carira;0,266;0,378;0,577
280450;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,319;0,432;0,587
280460;28;SE;Nordeste;2802;Agreste Sergipano;28003;Nossa Senhora das Dores;0,342;0,441;0,6
280470;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,34;0,459;0,598
280480;28;SE;Nordeste;2803;Leste Sergipano;28011;Aracaju;0,396;0,51;0,664
280490;28;SE;Nordeste;2803;Leste Sergipano;28009;Japaratuba;0,281;0,368;0,555
280500;28;SE;Nordeste;2801;Sert“o Sergipano;28002;Carira;0,292;0,45;0,593
280510;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,368;0,425;0,592
280520;28;SE;Nordeste;2801;Sert“o Sergipano;28002;Carira;0,313;0,432;0,583
280530;28;SE;Nordeste;2803;Leste Sergipano;28009;Japaratuba;0,379;0,46;0,603
280540;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,228;0,363;0,529
280550;28;SE;Nordeste;2802;Agreste Sergipano;28005;Tobias Barreto;0,287;0,421;0,561
280560;28;SE;Nordeste;2801;Sert“o Sergipano;28001;Sergipana do Sert“o do S“o Francis;0,256;0,387;0,568
280570;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,423;0,551;0,661
280580;28;SE;Nordeste;2802;Agreste Sergipano;28006;Agreste de Lagarto;0,253;0,385;0,539
280590;28;SE;Nordeste;2803;Leste Sergipano;28010;Baixo Cotinguiba;0,384;0,48;0,617
280600;28;SE;Nordeste;2801;Sert“o Sergipano;28002;Carira;0,364;0,466;0,613
280610;28;SE;Nordeste;2803;Leste Sergipano;28010;Baixo Cotinguiba;0,388;0,492;0,631
280620;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,297;0,428;0,609
280630;28;SE;Nordeste;2803;Leste Sergipano;28013;Est‘ncia;0,241;0,349;0,545
280640;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,289;0,419;0,59
280650;28;SE;Nordeste;2803;Leste Sergipano;28008;Cotinguiba;0,258;0,448;0,592
280660;28;SE;Nordeste;2803;Leste Sergipano;28010;Baixo Cotinguiba;0,329;0,496;0,637
280670;28;SE;Nordeste;2803;Leste Sergipano;28011;Aracaju;0,403;0,529;0,662
280680;28;SE;Nordeste;2802;Agreste Sergipano;28004;Agreste de Itabaiana;0,272;0,402;0,588
280690;28;SE;Nordeste;2803;Leste Sergipano;28009;Japaratuba;0,367;0,444;0,587
280700;28;SE;Nordeste;2802;Agreste Sergipano;28003;Nossa Senhora das Dores;0,273;0,383;0,567
280710;28;SE;Nordeste;2802;Agreste Sergipano;28005;Tobias Barreto;0,315;0,423;0,604
280720;28;SE;Nordeste;2803;Leste Sergipano;28008;Cotinguiba;0,322;0,472;0,609
280730;28;SE;Nordeste;2803;Leste Sergipano;28007;Propriﬂ;0,335;0,453;0,604
280740;28;SE;Nordeste;2802;Agreste Sergipano;28005;Tobias Barreto;0,29;0,407;0,557
280750;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,244;0,35;0,551
280760;28;SE;Nordeste;2803;Leste Sergipano;28012;Boquim;0,292;0,408;0,579
290010;29;BA;Nordeste;2906;Centro Sul Baiano;29023;Seabra;0,352;0,495;0,603
290020;29;BA;Nordeste;2902;Vale S“o-Franciscano da Bahia;29005;Paulo Afonso;0,332;0,422;0,575
290030;29;BA;Nordeste;2904;Nordeste Baiano;29017;Alagoinhas;0,285;0,422;0,582
290035;29;BA;Nordeste;2904;Nordeste Baiano;29015;Ribeira do Pombal;0,206;0,347;0,546
290040;29;BA;Nordeste;2903;Centro Norte Baiano;29012;Feira de Santana;0,23;0,382;0,55
290050;29;BA;Nordeste;2906;Centro Sul Baiano;29025;Livramento do Brumado;0,285;0,379;0,584
290060;29;BA;Nordeste;2906;Centro Sul Baiano;29024;Jequi⁄;0,293;0,436;0,583
290070;29;BA;Nordeste;2904;Nordeste Baiano;29017;Alagoinhas;0,452;0,55;0,683
290080;29;BA;Nordeste;2907;Sul Baiano;29032;Porto Seguro;0,272;0,453;0,608
290090;29;BA;Nordeste;2907;Sul Baiano;29031;Ilh⁄us-Itabuna;0,261;0,405;0,563
290100;29;BA;Nordeste;2906;Centro Sul Baiano;29024;Jequi⁄;0,375;0,487;0,625
290110;29;BA;Nordeste;2905;Metropolitana de Salvador;29019;Catu;0,379;0,513;0,666
290115;29;BA;Nordeste;2903;Centro Norte Baiano;29009;Irec€;0,29;0,391;0,561
290120;29;BA;Nordeste;2906;Centro Sul Baiano;29028;Vitæria da Conquista;0,191;0,308;0,54
290130;29;BA;Nordeste;2906;Centro Sul Baiano;29023;Seabra;0,279;0,375;0,555
290135;29;BA;Nordeste;2903;Centro Norte Baiano;29008;Senhor do Bonfim;0,206;0,383;0,588
290140;29;BA;Nordeste;2901;Extremo Oeste Baiano;29002;Cotegipe;0,312;0,426;0,625
290150;29;BA;Nordeste;2903;Centro Norte Baiano;29012;Feira de Santana;0,285;0,427;0,589
290160;29;BA;Nordeste;2904;Nordeste Baiano;29015;Ribeira do Pombal;0,309;0,444;0,592
290170;29;BA;Nordeste;2903;Centro Norte Baiano;29012;Feira de Santana;0,249;0,395;0,561
290180;29;BA;Nordeste;2903;Centro Norte Baiano;29008;Senhor do Bonfim;0,284;0,422;0,598
290190;29;BA;Nordeste;2904;Nordeste Baiano;29017;Alagoinhas;0,284;0,398;0,548
290195;29;BA;Nordeste;2906;Centro Sul Baiano;29024;Jequi⁄;0,25;0,386;0,552
290200;29;BA;Nordeste;2906;Centro Sul Baiano;29027;Brumado;0,237;0,342;0,581
290205;29;BA;Nordeste;2904;Nordeste Baiano;29017;Alagoinhas;0,255;0,363;0,57
290210;29;BA;Nordeste;2904;Nordeste Baiano;29016;Serrinha;0,244;0,362;0,534
290220;29;BA;Nordeste;2904;Nordeste Baiano;29017;Alagoinhas;0,33;0,454;0,588
290225;29;BA;Nordeste;2907;Sul Baiano;29031;Ilh⁄us-Itabuna;0,247;0,372;0,559
290230;29;BA;Nordeste;2905;Metropolitana de Salvador;29020;Santo Ant∂nio de Jesus;0,293;0,435;0,575
290240;29;BA;Nordeste;2907;Sul Baiano;29031;Ilh⁄us-Itabuna;0,263;0,365;0,568
290250;29;BA;Nordeste;2901;Extremo Oeste Baiano;29001;Barreiras;0,259;0,383;0,589
290260;29;BA;Nordeste;2903;Centro Norte Baiano;29011;Itaberaba;0,269;0,422;0,585
